i;j;time
256;256;0.017294
256;512;0.033032
256;768;0.052020
256;1024;0.065592
256;1280;0.072741
256;1536;0.095286
256;1792;0.111065
256;2048;0.122858
256;2304;0.123091
256;2560;0.153647
256;2816;0.175341
256;3072;0.189460
256;3328;0.196773
256;3584;0.209849
256;3840;0.228927
256;4096;0.259548
512;256;0.067187
512;512;0.138489
512;768;0.193107
512;1024;0.252257
512;1280;0.258028
512;1536;0.352721
512;1792;0.432627
512;2048;0.491911
512;2304;0.531163
512;2560;0.613625
512;2816;0.683601
512;3072;0.800878
512;3328;0.799377
512;3584;0.840959
512;3840;0.920546
512;4096;0.987125
768;256;0.071807
768;512;0.147529
768;768;0.172911
768;1024;0.147505
768;1280;0.243396
768;1536;0.294417
768;1792;0.285120
768;2048;0.450235
768;2304;0.399175
768;2560;0.481116
768;2816;0.509795
768;3072;0.591194
768;3328;0.564268
768;3584;0.585839
768;3840;0.567609
768;4096;0.855513
1024;256;0.112367
1024;512;0.179816
1024;768;0.259927
1024;1024;0.352925
1024;1280;0.449820
1024;1536;0.607367
1024;1792;0.636688
1024;2048;0.665176
1024;2304;0.829427
1024;2560;0.937068
1024;2816;0.985944
1024;3072;1.040333
1024;3328;1.188571
1024;3584;1.345033
1024;3840;1.450832
1024;4096;1.388157
1280;256;0.117179
1280;512;0.166051
1280;768;0.290914
1280;1024;0.277367
1280;1280;0.290564
1280;1536;0.285872
1280;1792;0.296226
1280;2048;0.296741
1280;2304;0.317292
1280;2560;0.342726
1280;2816;0.396439
1280;3072;0.518570
1280;3328;0.492737
1280;3584;0.489232
1280;3840;0.574664
1280;4096;0.634277
1536;256;0.128436
1536;512;0.171776
1536;768;0.309794
1536;1024;0.318962
1536;1280;0.417663
1536;1536;0.324875
1536;1792;0.371916
1536;2048;0.369993
1536;2304;0.502123
1536;2560;0.488523
1536;2816;0.505647
1536;3072;0.541632
1536;3328;0.575411
1536;3584;0.637106
1536;3840;0.625161
1536;4096;0.696361
1792;256;0.098618
1792;512;0.159077
1792;768;0.279055
1792;1024;0.246080
1792;1280;0.280876
1792;1536;0.310579
1792;1792;0.343318
1792;2048;0.415721
1792;2304;0.368848
1792;2560;0.414575
1792;2816;0.428670
1792;3072;0.520464
1792;3328;0.563883
1792;3584;0.608973
1792;3840;0.561145
1792;4096;0.631245
2048;256;0.136370
2048;512;0.197526
2048;768;0.339347
2048;1024;0.301963
2048;1280;0.338485
2048;1536;0.439889
2048;1792;0.446833
2048;2048;0.423396
2048;2304;0.529364
2048;2560;0.656454
2048;2816;0.596390
2048;3072;0.681430
2048;3328;0.794443
2048;3584;0.723390
2048;3840;0.777187
2048;4096;0.816979
2304;256;0.155128
2304;512;0.147954
2304;768;0.225304
2304;1024;0.283849
2304;1280;0.343390
2304;1536;0.378448
2304;1792;0.478822
2304;2048;0.484472
2304;2304;0.576705
2304;2560;0.636522
2304;2816;0.671917
2304;3072;0.743354
2304;3328;0.846497
2304;3584;0.829406
2304;3840;0.918011
2304;4096;0.937673
2560;256;0.122536
2560;512;0.227106
2560;768;0.245810
2560;1024;0.323239
2560;1280;0.402618
2560;1536;0.500651
2560;1792;0.492949
2560;2048;0.558010
2560;2304;0.658233
2560;2560;0.729860
2560;2816;0.746711
2560;3072;0.860509
2560;3328;0.943784
2560;3584;1.017950
2560;3840;1.067988
2560;4096;1.111878
2816;256;0.150337
2816;512;0.261519
2816;768;0.318218
2816;1024;0.444717
2816;1280;0.582976
2816;1536;0.674355
2816;1792;0.686421
2816;2048;0.834315
2816;2304;1.003312
2816;2560;1.054762
2816;2816;1.089510
2816;3072;1.246768
2816;3328;1.295150
2816;3584;1.449012
2816;3840;1.498151
2816;4096;1.667000
3072;256;0.167784
3072;512;0.302294
3072;768;0.435573
3072;1024;0.502198
3072;1280;0.664929
3072;1536;0.720304
3072;1792;0.835021
3072;2048;1.029662
3072;2304;1.205706
3072;2560;1.244421
3072;2816;1.279424
3072;3072;1.473211
3072;3328;1.542784
3072;3584;1.619621
3072;3840;1.688514
3072;4096;1.842908
3328;256;0.191607
3328;512;0.317511
3328;768;0.425093
3328;1024;0.586448
3328;1280;0.705805
3328;1536;0.809353
3328;1792;1.026379
3328;2048;1.082516
3328;2304;1.240875
3328;2560;1.362764
3328;2816;1.465858
3328;3072;1.564916
3328;3328;1.790049
3328;3584;1.838504
3328;3840;2.016706
3328;4096;2.107330
3584;256;0.217262
3584;512;0.347646
3584;768;0.506359
3584;1024;0.704213
3584;1280;0.761810
3584;1536;0.997848
3584;1792;1.090257
3584;2048;1.240309
3584;2304;1.351971
3584;2560;1.507293
3584;2816;1.567282
3584;3072;1.792027
3584;3328;1.938319
3584;3584;1.986328
3584;3840;2.171997
3584;4096;2.330401
3840;256;0.236708
3840;512;0.414617
3840;768;0.611322
3840;1024;0.767471
3840;1280;0.859739
3840;1536;1.096098
3840;1792;1.197532
3840;2048;1.362742
3840;2304;1.504821
3840;2560;1.672891
3840;2816;1.794292
3840;3072;2.076448
3840;3328;2.178825
3840;3584;2.367112
3840;3840;2.545007
3840;4096;2.681045
4096;256;0.265054
4096;512;0.449455
4096;768;0.637669
4096;1024;0.808880
4096;1280;0.953722
4096;1536;1.191025
4096;1792;1.333448
4096;2048;1.553305
4096;2304;1.745096
4096;2560;1.928533
4096;2816;2.074872
4096;3072;2.281196
4096;3328;2.501535
4096;3584;2.660590
4096;3840;2.800632
4096;4096;3.014888
